City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Rikitea,PF,75.99,-23.12,-134.97,Pension Maro'i
6,Atuona,PF,77.77,-9.8,-139.03,Villa Enata
11,El Carmen,CO,75.54,8.51,-73.45,La Casona
14,Morant Bay,JM,86.0,17.88,-76.41,Whispering Bamboo Cove Resort
20,Kavieng,PG,82.06,-2.57,150.8,Nusa Island Retreat
22,Adre,TD,82.58,13.47,22.2,
34,Avarua,CK,77.0,-21.21,-159.78,Paradise Inn
36,Puerto Ayora,EC,80.6,-0.74,-90.35,Finch Bay Galapagos Hotel
45,Luganville,VU,77.0,-15.53,167.17,The Espiritu Hotel
48,Buin,CL,84.2,-33.73,-70.75,Paihuen
49,Port-Gentil,GA,80.6,-0.72,8.78,Fengshui Residence
50,Guadalajara,MX,84.99,20.67,-103.33,Hotel Aranzazú
52,Saint George,US,77.0,37.1,-113.58,Best Western Plus Abbey Inn
57,Cabo San Lucas,MX,84.0,22.89,-109.91,Hotel Tesoro Los Cabos
58,Osmena,PH,82.81,10.52,119.93,Arjemarkyza Lodge
61,Acajutla,SV,87.8,13.59,-89.83,Stop.
62,San Cristobal,VE,89.6,7.77,-72.22,Pirineos
75,Mackay,AU,77.0,-21.15,149.2,International Lodge Motel
80,Mabaruma,GY,80.33,8.2,-59.78,
84,Takoradi,GH,79.16,4.88,-1.76,Raybow International Hotel
87,Butaritari,KI,81.52,3.07,172.79,Isles Sunset Lodge
89,Laguna,US,77.0,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
91,Isangel,VU,78.03,-19.55,169.27,Volcano Sea View Tree House
96,Kalabo,ZM,81.5,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
99,Daru,PG,79.66,-9.08,143.21,New century hotel
101,Carutapera,BR,80.24,-1.2,-46.02,Lidera
105,Arraial Do Cabo,BR,75.2,-22.97,-42.03,Pousada Porto Praia
110,Keti Bandar,PK,78.78,24.14,67.45,Haji laloo memon house
115,Labuhan,ID,79.65,-6.88,112.21,bador sepret
117,Kutum,SD,76.5,14.2,24.67,Dibbo areaمنطقة دبو
119,Padang,ID,77.86,-0.95,100.35,Mercure Padang
120,Sinnamary,GF,82.78,5.38,-52.95,ALETHEIA Appartement Sinnamary
121,Caravelas,BR,76.71,-17.71,-39.25,Pousada dos Navegantes
125,Vanimo,PG,78.66,-2.67,141.3,Vahmoneh Lodge Vanimo
128,Soyo,AO,77.86,-6.13,12.37,Hotel Mpampa
130,Barmer,IN,75.24,25.75,71.38,OYO 71911 Hotel Amber Palace
135,Bilma,NE,75.47,18.69,12.92,Expeditions Ténére voyages
136,El Vigia,VE,85.53,8.62,-71.65,Liceo Bolivariano 19 De Abril
141,Port Blair,IN,80.49,11.67,92.75,Fortune Resort Bay Island
142,Hilo,US,84.2,19.73,-155.09,Hilo Hawaiian Hotel
145,Nanakuli,US,84.0,21.39,-158.15,Camp Pālehua
154,Santa Rosa,PH,82.4,14.31,121.11,Erlyn’s Sta Rosa City Home
168,Carauari,BR,87.84,-4.88,-66.9,Pousada Lobo
170,Jaguarari,BR,78.26,-10.26,-40.2,Hotel Quintal De Casa
173,Yenagoa,NG,76.86,4.92,6.26,Amba Hotels Limited
177,Tautira,PF,82.4,-17.73,-149.15,Pension Oaoa
181,Hithadhoo,MV,82.96,-0.6,73.08,Scoop Guest House
182,Ixtapa,MX,86.0,20.7,-105.2,Container Inn Puerto Vallarta
183,Bani,DO,87.8,18.28,-70.33,Hospedaje Henriquez
190,Majene,ID,77.68,-3.54,118.97,Kost Putri RABBANI
192,Coahuayana,MX,82.4,18.73,-103.68,Hotel Los Arcos
194,Bengkulu,ID,75.13,-3.8,102.27,Grage Hotel Bengkulu
195,Nioro,GM,82.04,13.35,-15.75,
198,Dakar,SN,82.4,14.69,-17.44,Novotel Dakar
201,Barahona,DO,84.2,18.21,-71.1,Hotel Caribe
202,Dogondoutchi,NE,88.3,13.64,4.03,Hôtel Alheri Maison Alheri
204,Kapaa,US,82.0,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
206,Kloulklubed,PW,78.8,7.04,134.26,Storyboard Beach Resort
210,Abonnema,NG,77.99,4.71,6.79,Corper's Lodge Obonoma
212,Malakal,SS,75.67,9.53,31.66,Nile Palace Hotel
218,Puerto Escondido,MX,86.0,15.85,-97.07,Aldea del Bazar Hotel and Spa
231,Pangai,TO,78.8,-19.8,-174.35,Ha'apai Beach Resort
232,Beira,MZ,77.0,-19.84,34.84,Beira Terrace Hotel
234,Dunmore Town,BS,82.08,25.5,-76.65,Coral Sands Hotel
236,Samarai,PG,80.56,-10.62,150.67,Nuli Sapi
237,Salalah,OM,77.0,17.02,54.09,HAMDAN PLAZA HOTEL
239,Vera Cruz,BR,77.5,-12.63,-41.03,
242,Eyl,SO,80.94,7.98,49.82,Amiin Hotel
243,Galle,LK,78.85,6.04,80.22,Amangalla
248,Tomatlan,MX,85.96,19.93,-105.25,Norma franco
252,Ikom,NG,75.27,5.97,8.71,Reho Farm & Resort
253,Safaga,EG,77.63,26.73,33.94,Lamar Resort Abu Soma
256,Miranda,CO,87.8,3.25,-76.23,Parqueadero toño lasso
257,Alofi,NU,75.2,-19.06,-169.92,Taloa Heights
258,Taraza,CO,82.49,7.58,-75.4,Hotel Monteverde
269,Doha,QA,80.6,25.29,51.53,Doha Marriott Hotel
270,Canutama,BR,87.21,-6.53,-64.38,Hotel Jhennifer
271,Namatanai,PG,81.86,-3.67,152.43,Namatanai Hotel
275,Taoudenni,ML,79.65,22.68,-3.98,
277,Porto Murtinho,BR,82.04,-21.7,-57.88,Hotel Pantanal
284,Faanui,PF,79.23,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
287,Banda Aceh,ID,79.84,5.56,95.32,OYO 884 Rumoh PMI Hotel
288,Ciudad Bolivar,VE,88.66,8.12,-63.55,Hotel Edi
290,Kuala Selangor,MY,80.6,3.35,101.25,Apps Hotel
294,Aborlan,PH,79.05,9.44,118.55,Kevina Transient House
297,Mogadishu,SO,79.75,2.04,45.34,Hotel Juba
298,Jardim,BR,79.03,-21.48,-56.14,Hotel Estância
299,Samfya,ZM,76.77,-11.36,29.56,Chita Lodge Samfya
306,Georgetown,MY,80.6,5.41,100.34,Cititel Penang
308,Pitimbu,BR,80.6,-7.47,-34.81,Reserva do Abiaí
312,Bantogon,PH,78.84,6.53,124.03,Kalamansig Greenhome
313,Cockburn Town,TC,86.0,21.46,-71.14,Osprey Beach Hotel
314,Maceio,BR,78.8,-9.67,-35.74,Mercure Maceio Pajucara Hotel
316,Sao Filipe,CV,82.09,14.9,-24.5,Tortuga B&B
319,Phimai,TH,77.0,15.22,102.49,Benya Guest House
321,Kulhudhuffushi,MV,81.9,6.62,73.07,Haajy Guest House 1
322,Cayenne,GF,86.0,4.93,-52.33,Hôtel Le Dronmi
327,Poum,NC,78.17,-20.23,164.02,Gîte kajeon
330,Gat,IL,75.99,31.61,34.76,OlusHome
334,Lethem,GY,83.95,3.38,-59.8,Savannah Inn
338,Jaciara,BR,78.17,-15.97,-54.97,Taba Hotel
339,Ahuimanu,US,84.2,21.44,-157.84,Paradise Bay Resort
348,Kimbe,PG,77.58,-5.55,150.14,Kimbe Bay Hotel
349,Lamu,KE,77.74,-2.27,40.9,Lamu House
352,Yeppoon,AU,75.2,-23.13,150.73,Villa Mar Colina
357,Neiafu,TO,77.0,-18.65,-173.98,Mystic Sands
359,Pemangkat,ID,77.45,1.17,108.97,Kost H.Syamsuddin
361,Puerto Plata,DO,84.2,19.79,-70.69,Be Live Collection Marien
364,Passo De Camaragibe,BR,78.8,-9.24,-35.49,Pousada Divino Milagre
367,Akyab,MM,79.0,20.15,92.9,Hotel Memory
371,Cam Ranh,VN,78.8,11.92,109.16,OYO 598 Peony Hotel
373,Acarau,BR,79.95,-2.89,-40.12,castelo pizzaria
377,Bathsheba,BB,82.4,13.22,-59.52,Atlantis Hotel
378,Hobyo,SO,80.73,5.35,48.53,Osmani Hotel
382,Abu Dhabi,AE,77.0,24.47,54.37,Beach Rotana
386,Pochutla,MX,86.0,15.74,-96.47,Hotel Posada San Jose
390,Kalmunai,LK,79.09,7.42,81.82,VS Villa
396,Axim,GH,78.49,4.87,-2.24,AXIM BEACH RESORT AND SPA
399,Sao Joao Da Barra,BR,75.2,-21.64,-41.05,Pousada Porto De Canoas
400,Maues,BR,89.65,-3.38,-57.72,Hotel Miramar
410,Campos Sales,BR,86.83,-7.07,-40.38,Millenium Hotel
414,Aitape,PG,77.11,-3.14,142.35,
415,Les Cayes,HT,83.32,18.2,-73.75,Villa Orphee
419,Mahina,PF,82.4,-17.51,-149.49,Guest Beach Bungalow Tahiti
422,Koungheul,SN,85.84,13.98,-14.8,
427,Phra Pradaeng,TH,82.99,13.66,100.53,Montien Riverside Hotel
428,Adrar,MR,86.29,20.5,-10.07,
437,Guerrero Negro,MX,81.54,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
438,Sorong,ID,79.65,-0.88,131.25,The Waigo Hotel
439,Sangueya,GN,76.93,10.7,-14.37,
440,Miri,MY,77.0,4.41,114.01,"Mega Hotel, Miri"
442,Vila Velha,BR,78.8,-20.33,-40.29,Hotel Vitória Palace
446,Tadine,NC,77.05,-21.55,167.88,
447,Isla Pucu,PY,82.4,-25.3,-56.9,Quinta Los Hermanos Arbó
448,Cururupu,BR,78.75,-1.83,-44.87,Pousada Través'cia
451,Tessalit,ML,79.38,20.2,1.01,
454,Tadpatri,IN,76.26,14.92,78.02,"RR Homes, Thurpu palem"
467,Bonfim,BR,84.83,3.08,-59.95,
469,Praya,CV,78.8,14.92,-23.51,LT Aparthotel
477,Gunjur,GM,82.4,13.2,-16.73,Kuba Lodge
483,Puerto Del Rosario,ES,75.2,28.5,-13.86,Hotel JM Puerto del Rosario
491,Porterville,US,77.0,36.07,-119.02,Holiday Inn Express & Suites Porterville
501,Sarangani,PH,83.28,5.4,125.46,Ballistic Islet
503,Fayaoue,NC,76.64,-20.65,166.53,Chez Dydyce Guesthouse
512,Mareeba,AU,75.0,-17.0,145.43,Trinity Plains Tourist Park
516,Buala,SB,81.23,-8.14,159.59,Maringe Lagoon Lodge
518,Meulaboh,ID,76.42,4.14,96.13,Kost Pria
526,San Policarpo,PH,81.72,12.18,125.51,Zal-Ann Beach Resort
527,Banfora,BF,79.81,10.63,-4.77,Residences David Hebié
528,Edd,ER,85.1,13.93,41.69,
534,Sucua,EC,77.0,-2.47,-78.17,Hotel Barza
536,Itarema,BR,79.65,-2.92,-39.92,Windvillage
537,Maneromango,TZ,77.0,-7.2,38.78,
541,Rapar,IN,79.14,23.57,70.63,Dharamshi Bapa’s Home
543,San Juan,AR,79.29,-31.54,-68.54,Hotel Provincial
556,Bandarbeyla,SO,78.08,9.49,50.81,REER XOOSHLE GROUP
559,San Patricio,US,75.0,28.02,-97.52,"Motel 6 Sinton, TX"
566,Ambon,ID,77.0,-3.7,128.18,Swiss-Belhotel Ambon
572,Esna,EG,82.4,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
573,Marawi,PH,77.0,8.0,124.29,Derogongan Residence
577,Bacolod,PH,78.78,10.67,122.95,Planta Hotel & Residences
581,Acapulco,MX,87.8,16.86,-99.89,HS Hotsson Smart Acapulco
589,Lorengau,PG,81.75,-2.02,147.27,Lorengau Harbourside Hotel
590,Araouane,ML,86.95,18.9,-3.53,
592,Monteiro,BR,84.22,-7.89,-37.12,Pousada Nunes
601,San Pedro,PH,82.4,14.35,121.02,OYO 412 Viewfort Venue
603,Kupang,ID,79.97,-10.17,123.58,Sylvia Hotel Premier Kupang
604,Tambopata,PE,80.26,-12.73,-69.18,
607,Chirongui,YT,78.8,-12.93,45.15,La Villa Mahatsara
609,Am Timan,TD,81.0,11.03,20.28,Palais du chef Canton Salamt
613,Magalia,US,78.01,39.81,-121.58,Kris West Park
618,Saint-Georges,GD,86.0,12.06,-61.75,Siesta Hotel
619,Natal,BR,82.4,-5.79,-35.21,Villa Park Hotel | Natal
620,Belmonte,BR,78.8,-15.86,-38.88,Pousada Monte Carmelo O Pão
621,Formosa Do Rio Preto,BR,79.93,-11.05,-45.19,Porto Center Hotel
630,Mapiripan,CO,89.51,2.89,-72.13,Monserrate
633,Katubao,PH,80.55,5.89,124.83,IML Ecopark
637,Harindanga,IN,78.8,22.04,88.32,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
639,Roura,GF,86.0,4.73,-52.33,Amazonie Découverte SARL
642,Areia Branca,BR,81.34,-4.96,-37.14,Areia Branca Apart Hotel
646,Paredon,MX,83.19,16.03,-93.87,Hotel Principal Paredon
647,Karwar,IN,79.11,14.8,74.13,Netalco Connects
651,Ukiah,US,79.0,39.15,-123.21,Hampton Inn Ukiah
658,Kahului,US,84.2,20.89,-156.47,Maui Seaside Hotel
659,Cabinda,AO,77.81,-5.55,12.2,"Hotel Executivo , 3 estrelas"
665,Saint Pete Beach,US,75.99,27.73,-82.74,TradeWinds Island Grand Resort
673,Basco,PH,77.5,20.45,121.97,Nathaniel's Lodge
676,Dagua,CO,87.8,3.66,-76.69,Villa alegre
677,Rabaul,PG,80.91,-4.2,152.17,Rabaul Hotel
678,Uribia,CO,85.15,11.71,-72.27,Hotel Uribia
679,Boa Vista,BR,89.6,2.82,-60.67,Aipana Plaza Hotel
682,Pandamatenga,BW,76.06,-18.53,25.63,Wildtrack Safaris Eco Lodge
686,Thatta,PK,76.87,24.75,67.92,We Care Guest House
